Делитель	Divisor
Пакетное выполнение	Batch processing
Версия Loginom	Loginom version
Редакция Loginom	Loginom edition
Рабочее пространство	Working space
От имени администратора	As an administrator
Запуск службы	Service start
Программы и компоненты	Programs & Features
Сервер сетевых ключей	Network dongles server
Экземпляр программы	Program instance
ООО «Аналитические технологии»	OOO ANALITICHESKIE TEHNOLOGII
Категорийные данные	Categorical data
Масштабируемый алгоритм	Scalable algorithm
Сверхбольшие базы данных	Large databases
Транзакционные данные	Transactional data
Производительность алгоритма	Algorithm performance
Панель инструментов	Toolbar
Регулярное выражение Perl	Perl regular expression
Осуществлять перебор, перебирать	Iterate over
Количество отсчетов	Lag count
Транспонировать	Transpose
Условия фильтрации	Filtering criteria
Сложное условие	Complex criterion
Метод скользящего окна	Windowing method
Таблица замен	Replacement table
Подсказка	Tip
Доля	Quota
Разгруппированные	Ungrouped
Заголовок Content-Type	Content-Type caption
Диспетчер	Session Manager
Установить/снять флажок	Select/Deselect a checkbox
Доля событий	Event rate	Только в контексте конечных классов (Coarse Classes)
Дубликаты и противоречия	Duplicates Detection	Это название компонента (узла)
Дубликаты и противоречия	Duplicates and Contradictions	Это название визуализатора к узлу Duplicates Detection
Пошаговое исключение	Backward
Гребневая регрессия	Ridge
Регрессия Лассо	LASSO
Регрессия «эластичная сеть»	Elastic Net
Принудительное включение	Enter
Коэффициент детерминации	R^2
Коэффициент детерминации (скорр.)	R^2 adj.
Критерий Акаике	AIC
Критерий Акаике (скорр.)	AICc
Критерий Байеса	BIC
Критерий Ханнана-Куинна	HQC
Количество интервалов = число интервалов	Count of bins или Bin(s) count	В случае квантования и конечных/начальных классов
Диапазоны квантования = интервалы квантования	Binning ranges	Раньше использовался ошибочный термин binning bins
Верхняя граница диапазонов открыта	Upper bin bound open
Нижняя граница диапазонов открыта	Lower bin bound open
